"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","onvs.fabrique.social.gouv.fr/20.74.14.77","443","INFO","HTTP","",""
"pre_128cipher","onvs.fabrique.social.gouv.fr/20.74.14.77","443","INFO","No 128 cipher limit bug","",""
"SSLv2","onvs.fabrique.social.gouv.fr/20.74.14.77","443","OK","not offered","",""
"SSLv3","onvs.fabrique.social.gouv.fr/20.74.14.77","443","OK","not offered","",""
"TLS1","onvs.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not offered","",""
"TLS1_1","onvs.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not offered","",""
"TLS1_2","onvs.fabrique.social.gouv.fr/20.74.14.77","443","OK","offered","",""
"TLS1_3","onvs.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN_HTTP2","onvs.fabrique.social.gouv.fr/20.74.14.77","443","OK","h2","",""
"ALPN","onvs.fabrique.social.gouv.fr/20.74.14.77","443","INFO","http/1.1","",""
"cipherlist_NULL","onvs.fabrique.social.gouv.fr/20.74.14.77","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","onvs.fabrique.social.gouv.fr/20.74.14.77","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","onvs.fabrique.social.gouv.fr/20.74.14.77","443","OK","not offered","","CWE-327"
"cipherlist_LOW","onvs.fabrique.social.gouv.fr/20.74.14.77","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","onvs.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","onvs.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not offered","","CWE-310"
"cipherlist_GOOD","onvs.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not offered","",""
"cipherlist_STRONG","onvs.fabrique.social.gouv.fr/20.74.14.77","443","OK","offered","",""
"cipher_order","onvs.fabrique.social.gouv.fr/20.74.14.77","443","OK","server","",""
"protocol_negotiated","onvs.fabrique.social.gouv.fr/20.74.14.77","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","onvs.fabrique.social.gouv.fr/20.74.14.77","443","OK","ECDHE-RSA-AES128-GCM-SHA256, 256 bit ECDH (P-256)","",""
"cipherorder_TLSv1_2","onvs.fabrique.social.gouv.fr/20.74.14.77","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"FS","onvs.fabrique.social.gouv.fr/20.74.14.77","443","OK","offered","",""
"FS_ciphers","onvs.fabrique.social.gouv.fr/20.74.14.77","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","onvs.fabrique.social.gouv.fr/20.74.14.77","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","onvs.fabrique.social.gouv.fr/20.74.14.77","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'next protocol/#13172' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","onvs.fabrique.social.gouv.fr/20.74.14.77","443","INFO","valid for 600 seconds only (<daily)","",""
"SSL_sessionID_support","onvs.fabrique.social.gouv.fr/20.74.14.77","443","INFO","yes","",""
"sessionresumption_ticket","onvs.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not supported","",""
"sessionresumption_ID","onvs.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not supported","",""
"TLS_timestamp","onvs.fabrique.social.gouv.fr/20.74.14.77","443","INFO","random","",""
"cert_compression","onvs.fabrique.social.gouv.fr/20.74.14.77","443","INFO","N/A","",""
"clientAuth","onvs.fabrique.social.gouv.fr/20.74.14.77","443","INFO","none","",""
"cert_numbers","onvs.fabrique.social.gouv.fr/20.74.14.77","443","INFO","1","",""
"cert_signatureAlgorithm","onvs.fabrique.social.gouv.fr/20.74.14.77","443","OK","SHA256 with RSA","",""
