"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","code.travail.gouv.fr/51.11.227.220","443","INFO","HTTP","",""
"pre_128cipher","code.travail.gouv.fr/51.11.227.220","443","INFO","No 128 cipher limit bug","",""
"SSLv2","code.travail.gouv.fr/51.11.227.220","443","OK","not offered","",""
"SSLv3","code.travail.gouv.fr/51.11.227.220","443","OK","not offered","",""
"TLS1","code.travail.gouv.fr/51.11.227.220","443","INFO","not offered","",""
"TLS1_1","code.travail.gouv.fr/51.11.227.220","443","INFO","not offered","",""
"TLS1_2","code.travail.gouv.fr/51.11.227.220","443","OK","offered","",""
"TLS1_3","code.travail.gouv.fr/51.11.227.220","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN_HTTP2","code.travail.gouv.fr/51.11.227.220","443","OK","h2","",""
"ALPN","code.travail.gouv.fr/51.11.227.220","443","INFO","http/1.1","",""
"cipherlist_NULL","code.travail.gouv.fr/51.11.227.220","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","code.travail.gouv.fr/51.11.227.220","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","code.travail.gouv.fr/51.11.227.220","443","OK","not offered","","CWE-327"
"cipherlist_LOW","code.travail.gouv.fr/51.11.227.220","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","code.travail.gouv.fr/51.11.227.220","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","code.travail.gouv.fr/51.11.227.220","443","INFO","not offered","","CWE-310"
"cipherlist_GOOD","code.travail.gouv.fr/51.11.227.220","443","INFO","not offered","",""
"cipherlist_STRONG","code.travail.gouv.fr/51.11.227.220","443","OK","offered","",""
"cipher_order","code.travail.gouv.fr/51.11.227.220","443","OK","server","",""
"protocol_negotiated","code.travail.gouv.fr/51.11.227.220","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","code.travail.gouv.fr/51.11.227.220","443","OK","ECDHE-RSA-AES128-GCM-SHA256, 256 bit ECDH (P-256)","",""
"cipherorder_TLSv1_2","code.travail.gouv.fr/51.11.227.220","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"FS","code.travail.gouv.fr/51.11.227.220","443","OK","offered","",""
"FS_ciphers","code.travail.gouv.fr/51.11.227.220","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","code.travail.gouv.fr/51.11.227.220","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","code.travail.gouv.fr/51.11.227.220","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'next protocol/#13172' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","code.travail.gouv.fr/51.11.227.220","443","INFO","valid for 600 seconds only (<daily)","",""
"SSL_sessionID_support","code.travail.gouv.fr/51.11.227.220","443","INFO","yes","",""
"sessionresumption_ticket","code.travail.gouv.fr/51.11.227.220","443","INFO","not supported","",""
"sessionresumption_ID","code.travail.gouv.fr/51.11.227.220","443","INFO","not supported","",""
"TLS_timestamp","code.travail.gouv.fr/51.11.227.220","443","INFO","random","",""
"clientAuth","code.travail.gouv.fr/51.11.227.220","443","INFO","none","",""
"cert_numbers","code.travail.gouv.fr/51.11.227.220","443","INFO","1","",""
"cert_signatureAlgorithm","code.travail.gouv.fr/51.11.227.220","443","OK","SHA256 with RSA","",""
"cert_keySize","code.travail.gouv.fr/51.11.227.220","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","code.travail.gouv.fr/51.11.227.220","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","code.travail.gouv.fr/51.11.227.220","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","code.travail.gouv.fr/51.11.227.220","443","INFO","037C019168BFC7E0C8B5E3F4E0D82109E973","",""
"cert_fingerprintSHA1","code.travail.gouv.fr/51.11.227.220","443","INFO","55B10307E2A3DB7EC30A07B7B3E25E3D1B37F3D3","",""
"cert_fingerprintSHA256","code.travail.gouv.fr/51.11.227.220","443","INFO","8696071FC84BCC692C3EDE872859BFA628867AB7DF058C5770C8B8150F86986A","",""
